Ticker,Date,Close,RSI,MACD_diff,SMA20,CCI,ADX,Stochastic,RSI_signal,MACD_signal,BB_signal,CCI_signal,Stochastic_signal,Overall_signal
ULM,2025-10-30,58.5,40.0,-0.085,60.55,-185.0,,0.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
UNF,2025-10-30,1.32,51.67,0.012,1.28,55.06,,65.22,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
UNI,2025-10-30,11.15,59.09,0.0133,10.88,78.95,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
UNT,2025-10-30,130.2,42.11,0.441,129.91,3.3,,63.46,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
URT,2025-10-30,29.6,15.13,-0.1593,34.7,-56.35,,10.67,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
VGO,2025-10-30,520.0,43.18,-1.5731,520.7,-4.28,,85.71,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
VIN,2025-10-30,11.75,45.0,-0.0176,11.87,-28.16,,33.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
VOT,2025-10-30,46.45,48.98,-0.0664,46.69,-37.98,,33.27,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
VOX,2025-10-30,155.2,14.38,-1.5416,166.4,-107.31,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
VRC,2025-10-30,123.4,50.68,-0.0342,123.78,-20.29,,13.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
VRG,2025-10-30,4.49,41.67,-0.0134,4.59,-47.95,,31.25,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
VVD,2025-10-30,0.84,31.03,-0.0095,0.92,-63.89,,15.69,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
WAS,2025-10-30,1.68,34.29,-0.0091,1.76,-135.44,,2.94,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
WIK,2025-10-30,7.2,25.0,-0.1037,7.74,-83.99,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
WIS,2025-10-30,0.04,17.08,-0.0354,0.31,-200.07,,0.14,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
WLT,2025-10-30,7.08,51.15,0.0181,6.98,40.69,,74.42,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
WPL,2025-10-30,56.6,47.2,0.0186,58.66,-78.14,,0.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
WPR,2025-10-30,3.42,46.94,-0.0131,3.46,-36.64,,45.83,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
WTN,2025-10-30,15.86,38.67,-0.0002,16.24,-111.21,,0.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
WWL,2025-10-30,702.0,55.38,0.2242,688.4,80.63,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
WXF,2025-10-30,2.56,32.26,-0.0065,2.61,-75.62,,14.29,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
XPL,2025-10-30,2.8,48.15,0.0228,2.73,62.19,,94.12,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
XTB,2025-10-30,68.5,54.21,0.2219,68.04,13.41,,78.38,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
XTP,2025-10-30,72.0,51.46,0.7606,71.11,11.74,,72.6,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
YAN,2025-10-30,14.7,50.0,0.0215,14.19,88.71,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
YRL,2025-10-30,7.64,59.66,0.075,7.41,34.95,,59.02,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ZAB,2025-10-30,21.53,49.08,-0.0373,21.65,-22.96,,56.88,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ZAP,2025-10-30,46.7,33.33,-0.0368,47.36,-91.31,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
ZEP,2025-10-30,21.8,49.41,0.0308,21.9,-7.31,,35.48,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ZMT,2025-10-30,0.8,40.63,-0.0008,0.82,-46.92,,16.67,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
ZRE,2025-10-30,9.98,27.61,-0.152,10.46,-73.95,,5.97,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
ZUE,2025-10-30,11.1,66.67,0.0391,10.81,57.09,,87.5,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ZUK,2025-10-30,4.18,41.79,-0.0272,4.11,15.29,,94.44,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
