Nazwa,Ticker,Kwartał [-],Data publikacji,Kurs [zł],Liczba akcji [-],Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Zysk operacyjny (EBIT) [tys. zł],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Nazwa+ticker
11BIT,11B,2020/Q3,2020-11-17,489.5,2358895,17990.0,7110.0,8733.0,67.52,7.18,18.57,26.11,38.13,12.72,39.85,12.17,27.51,23.35,48.7,11BIT (11B)
11BIT,11B,2020/Q4,2021-04-28,539.0,2358895,18943.0,5243.0,5683.0,69.8,6.79,15.84,29.93,36.92,12.84,39.96,11.86,22.69,20.05,42.9,11BIT (11B)
11BIT,11B,2021/Q1,2021-05-13,477.0,2358895,14837.0,3559.0,3442.0,71.79,7.69,11.2,49.3,30.27,18.23,39.73,13.89,15.6,13.72,36.99,11BIT (11B)
11BIT,11B,2021/Q2,2021-08-26,446.0,2365421,20941.0,9749.0,11054.0,76.19,6.26,10.85,43.99,30.74,15.52,43.26,11.03,14.24,12.75,35.29,11BIT (11B)
11BIT,11B,2021/Q3,2021-11-18,468.2,2365421,13418.0,4090.0,3923.0,78.41,5.17,9.57,42.33,28.81,14.07,43.5,9.31,12.21,11.06,33.23,11BIT (11B)
11BIT,11B,2021/Q4,2022-03-24,568.0,2366921,20927.0,11288.0,11612.0,83.37,6.64,12.12,45.71,29.63,18.7,45.06,12.29,14.54,13.07,40.91,11BIT (11B)
11BIT,11B,2022/Q1,2022-05-25,482.0,2367868,17746.0,3774.0,3749.0,85.33,6.91,12.21,48.34,30.84,19.13,41.81,14.11,14.3,12.75,39.57,11BIT (11B)
11BIT,11B,2022/Q2,2022-09-30,529.0,2380144,28024.0,11310.0,9668.0,90.44,5.43,12.8,38.4,33.66,14.6,42.58,11.54,14.15,12.56,38.02,11BIT (11B)
11BIT,11B,2022/Q3,2022-11-17,527.0,2380144,13812.0,4881.0,2580.0,92.8,5.7,13.13,40.29,33.83,15.64,39.72,13.32,14.15,12.71,38.82,11BIT (11B)
11BIT,11B,2022/Q4,2023-03-23,666.0,2380144,14624.0,2925.0,3986.0,94.34,6.25,9.62,61.35,31.18,18.92,34.45,17.13,10.19,9.37,30.85,11BIT (11B)
