Nazwa,Rok,Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Koszty sprzedaży [tys. zł],EBITDA [tys. zł],Wartość firmy [tys. zł],Kredyty i pożyczki [tys. zł],Aktywa razem [tys. zł],Pasywa razem [tys. zł],Dywidenda [tys. zł]
MDI,2009,1307.0,-6515.0,0.0,-6233.0,6303.0,2716.0,132025.0,132025.0,0.0
MDI,2010,554.0,-7878.0,0.0,-7186.0,6303.0,79470.0,222186.0,222186.0,0.0
MDI,2011,20101.0,-6452.0,0.0,213.0,6303.0,82958.0,236822.0,236822.0,0.0
MDI,2012,22730.0,-33559.0,410.0,-12557.0,6303.0,82105.0,214010.0,214010.0,0.0
MDI,2013,36801.0,-30138.0,1022.0,-7436.0,0.0,94791.0,193285.0,193285.0,0.0
MDI,2014,15503.0,-5352.0,690.0,5668.0,0.0,4001.0,14043.0,14043.0,0.0
MDI,2015,208773.0,-1713.0,0.0,8153.0,0.0,18746.0,137113.0,137113.0,5600.0
MDI,2016,162608.0,5851.0,0.0,2387.0,0.0,32702.0,130512.0,130512.0,0.0
MDI,2017,174210.0,4520.0,0.0,7166.0,0.0,26990.0,105995.0,105995.0,0.0
MDI,2018,137209.0,1279.0,0.0,5267.0,0.0,27997.0,102026.0,102026.0,3369.0
MDI,2019,179513.0,127.0,0.0,5416.0,0.0,27051.0,128428.0,128428.0,0.0
MDI,2020,259061.0,4799.0,0.0,8122.0,0.0,33945.0,127879.0,127879.0,0.0
MDI,2021,252859.0,-474.0,0.0,2955.0,0.0,52131.0,137249.0,137249.0,0.0
MDI,2022,198745.0,-9104.0,0.0,-7573.0,0.0,27525.0,90602.0,90602.0,0.0
MDI,2023,172423.0,-3044.0,0.0,-1332.0,0.0,8318.0,93184.0,93184.0,0.0
MDI,2024,201250.0,-3187.0,0.0,-2968.0,0.0,0.0,74213.0,74213.0,0.0
MDI,2025,227467.0,-2102.0,0.0,-1676.0,0.0,5000.0,94582.0,94582.0,0.0
MEGARON,2007,15642.0,2426.0,3140.0,3791.0,,334.0,11026.0,11026.0,500.0
MEGARON,2008,23632.0,755.0,8224.0,2355.0,,706.0,11446.0,11446.0,250.0
MEGARON,2009,27890.0,3765.0,6296.0,5632.0,0.0,334.0,14336.0,14336.0,400.0
MEGARON,2010,32993.0,1720.0,12282.0,3364.0,0.0,2330.0,23603.0,23603.0,1000.0
MEGARON,2011,40765.0,5495.0,9628.0,9097.0,0.0,1236.0,30012.0,30012.0,2565.0
MEGARON,2012,42814.0,4951.0,10701.0,8485.0,0.0,334.0,30117.0,30117.0,3186.0
MEGARON,2013,41077.0,1503.0,12048.0,4036.0,0.0,0.0,28993.0,28993.0,2160.0
MEGARON,2014,41569.0,3991.0,9506.0,7028.0,0.0,0.0,29561.0,29561.0,1485.0
MEGARON,2015,41748.0,4901.0,9187.0,7403.0,0.0,0.0,29951.0,29951.0,4266.0
MEGARON,2016,39481.0,3844.0,8939.0,6519.0,0.0,0.0,30222.0,30222.0,2052.0
MEGARON,2017,42400.0,-661.0,15243.0,886.0,0.0,1800.0,29003.0,29003.0,6183.0
MEGARON,2018,44693.0,3276.0,10822.0,6448.0,0.0,2958.0,33442.0,33442.0,2565.0
MEGARON,2019,43517.0,2811.0,10424.0,5547.0,0.0,4350.0,38722.0,38722.0,0.0
MEGARON,2020,44923.0,2827.0,9655.0,6059.0,0.0,1638.0,38391.0,38391.0,0.0
MEGARON,2021,47533.0,1822.0,11199.0,5331.0,0.0,2208.0,37855.0,37855.0,999.0
MEGARON,2022,47829.0,-1053.0,11450.0,2454.0,0.0,2474.0,35878.0,35878.0,540.0
MEGARON,2023,43817.0,-765.0,11601.0,2805.0,0.0,2623.0,33563.0,33563.0,0.0
MEGARON,2024,46886.0,958.0,12736.0,4261.0,0.0,2550.0,31654.0,31654.0,0.0
MEGARON,2025,43394.0,585.0,11712.0,3728.0,0.0,,31505.0,31505.0,0.0
MENNICA-POLSKA,2004,439147.0,42687.0,0.0,62453.0,0.0,505.0,312559.0,312559.0,6570.0
MENNICA-POLSKA,2005,499963.0,40831.0,0.0,53095.0,0.0,10084.0,352416.0,352416.0,37910.0
MENNICA-POLSKA,2006,534621.0,37294.0,0.0,51994.0,0.0,11561.0,375045.0,375045.0,13140.0
MENNICA-POLSKA,2007,619092.0,51549.0,,62145.0,0.0,3353.0,486568.0,486568.0,16425.0
MENNICA-POLSKA,2008,877178.0,69727.0,1969.0,97760.0,0.0,13895.0,455090.0,455090.0,26280.0
MENNICA-POLSKA,2009,1040073.0,99278.0,17064.0,134569.0,0.0,12084.0,521505.0,521505.0,32851.0
MENNICA-POLSKA,2010,850915.0,41460.0,13639.0,73582.0,0.0,31358.0,533314.0,533314.0,0.0
MENNICA-POLSKA,2011,1422176.0,54522.0,12711.0,102245.0,0.0,91344.0,751919.0,751919.0,14147.0
MENNICA-POLSKA,2012,2692087.0,120389.0,21490.0,168486.0,0.0,166369.0,992123.0,992123.0,0.0
MENNICA-POLSKA,2013,1014151.0,99972.0,17396.0,76256.0,0.0,10603.0,873283.0,873283.0,25916.0
MENNICA-POLSKA,2014,797238.0,14168.0,12723.0,57210.0,0.0,117616.0,992350.0,992350.0,23102.0
MENNICA-POLSKA,2015,774322.0,35251.0,12756.0,73594.0,0.0,94273.0,800264.0,800264.0,20535.0
MENNICA-POLSKA,2016,882371.0,45365.0,18194.0,61464.0,0.0,195662.0,843709.0,843709.0,25569.0
MENNICA-POLSKA,2017,926912.0,121093.0,15212.0,141515.0,0.0,291.0,961307.0,961307.0,35797.0
MENNICA-POLSKA,2018,1036610.0,65371.0,13687.0,102290.0,0.0,24.0,814336.0,814336.0,51138.0
MENNICA-POLSKA,2019,669372.0,-1203.0,14860.0,44503.0,0.0,0.0,970169.0,970169.0,51138.0
MENNICA-POLSKA,2020,943434.0,55542.0,19498.0,98860.0,0.0,0.0,882287.0,882287.0,25569.0
MENNICA-POLSKA,2021,1309211.0,89423.0,25589.0,110811.0,0.0,0.0,917769.0,917769.0,35797.0
MENNICA-POLSKA,2022,1282427.0,32447.0,32066.0,70607.0,0.0,6896.0,967135.0,967135.0,35761.0
MENNICA-POLSKA,2023,1233239.0,117050.0,24330.0,130613.0,0.0,3325.0,1090175.0,1090175.0,5109.0
MENNICA-POLSKA,2024,1388855.0,94870.0,31654.0,123868.0,0.0,65446.0,1397069.0,1397069.0,63859.0
MENNICA-POLSKA,2025,1488702.0,108651.0,35965.0,136021.0,0.0,637.0,1552834.0,1552834.0,0.0
MERCATOR,2010,88620.0,257.0,0.0,5656.0,,26539.0,60197.0,60197.0,494.0
MERCATOR,2011,117614.0,697.0,0.0,7245.0,,26995.0,77083.0,77083.0,0.0
MERCATOR,2012,132171.0,8433.0,0.0,10971.0,,25010.0,75758.0,75758.0,200.0
MERCATOR,2013,147811.0,6909.0,0.0,14021.0,0.0,23591.0,100250.0,100250.0,194.0
MERCATOR,2014,168482.0,10019.0,0.0,16415.0,0.0,17804.0,139192.0,139192.0,259.0
